alocohol_name,price,main_ingridient,category
Jack Daniel's Old No. 7,24.00,Corn (51%+) / Grains,Whiskey (Bourbon/Tennessee)
Tito's Handmade Vodka,22.00,Corn,Vodka
Bacardi Superior,15.00,Sugarcane Molasses,Rum
Patrón Silver,45.00,Blue Agave,Tequila
Tanqueray London Dry,25.00,Grains & Juniper Berries,Gin
Hennessy V.S,40.00,Grapes (Ugni Blanc),Cognac (Brandy)
Jameson Irish Whiskey,25.00,Barley,Whiskey (Irish)
Grey Goose,45.00,Wheat (Winter Wheat),Vodka
Captain Morgan Original Spiced,18.00,Sugarcane & Spices,Rum
Jose Cuervo Especial Gold,20.00,Blue Agave & Sugar,Tequila
Johnnie Walker Black Label,35.00,Malted Barley & Grains,Whiskey (Scotch)
Bombay Sapphire,27.00,Grains & 10 Botanicals,Gin
Maker's Mark,30.00,Corn / Red Winter Wheat,Whiskey (Bourbon)
Don Julio 1942,160.00,Blue Agave,Tequila
Veuve Clicquot Brut (Champagne),60.00,Chardonnay / Pinot Noir Grapes,Wine (Sparkling)
Baileys Irish Cream,28.00,Irish Whiskey & Dairy Cream,Liqueur
Malibu Coconut Rum,18.00,Sugarcane & Coconut Extract,Liqueur (Rum-based)
Cabernet Sauvignon (Generic Mid-range),15.00,Red Grapes,Wine (Red)
Sauvignon Blanc (Generic Mid-range),13.00,White Grapes,Wine (White)
Guinness Draught (6-pack),10.00,Barley / Hops / Water / Yeast,Beer (Stout)
Corona Extra (6-pack),9.00,Barley / Corn / Hops,Beer (Lager)
Heineken (6-pack),10.00,Barley / Hops,Beer (Lager)
Absolut Vodka,20.00,Winter Wheat,Vodka
Crown Royal,28.00,Corn / Rye / Barley,Whiskey (Canadian)
Jägermeister,25.00,56 Herbs / Fruits / Roots,Liqueur (Herbal)
Aperol,27.00,Gentian / Rhubarb / Cinchona,Liqueur (Aperitif)
Grand Marnier,40.00,Cognac & Bitter Orange,Liqueur
Soju (Generic 375ml),5.00,Rice / Wheat / Sweet Potato,Spirit (Korean)
Sake (Generic 750ml),15.00,Polished Rice,Rice Wine
